Time,Open,High,Low,Last,Change,%Chg,Volume
"01/13/2021 01:50",34990.97,35136.42,34867.26,35136.42,145.45,+0.42%,181
"01/13/2021 01:45",34830.32,35050.59,34829.98,34990.97,160.65,+0.46%,167
"01/13/2021 01:40",34733.74,34896.53,34668.38,34830.32,96.58,+0.28%,180
"01/13/2021 01:35",34709.43,34789.38,34655.05,34733.74,29.89,+0.09%,171
"01/13/2021 01:30",34591.02,34771.7,34591.02,34703.85,106.62,+0.31%,177
"01/13/2021 01:25",34059.18,34609.18,34049.5,34597.23,537.72,+1.58%,181
"01/13/2021 01:20",33866.93,34069.69,33856.68,34059.51,192.58,+0.57%,174
"01/13/2021 01:15",33945.77,33945.77,33807.21,33866.93,-78.84,-0.23%,178
"01/13/2021 01:10",33861.18,33995.49,33789.65,33945.77,88.39,+0.26%,190
"01/13/2021 01:05",33797.96,33913.66,33780.87,33857.38,59.42,+0.18%,195
"01/13/2021 01:00",33801.36,33839.14,33739.43,33797.96,9.17,+0.03%,186
"01/13/2021 00:55",33971.61,33992.77,33788.79,33788.79,-182.82,-0.54%,196
"01/13/2021 00:50",34138.38,34200.71,33971.61,33971.61,-167.14,-0.49%,182
"01/13/2021 00:45",33941.82,34138.75,33941.82,34138.75,196.93,+0.58%,178
"01/13/2021 00:40",33678.98,33947.5,33678.41,33941.82,264.88,+0.79%,173
"01/13/2021 00:35",33621.28,33696.78,33616.24,33676.94,55.66,+0.17%,196
"01/13/2021 00:30",33811.01,33883.62,33621.28,33621.28,-189.73,-0.56%,191
"01/13/2021 00:25",33757.38,33837.86,33692.68,33811.01,51.9,+0.15%,199
"01/13/2021 00:20",33705.09,33832.95,33705.09,33759.11,54.61,+0.16%,194
"01/13/2021 00:15",33504.38,33761.41,33489.61,33704.5,200.12,+0.60%,189
"01/13/2021 00:10",33512.45,33520.27,33418.02,33504.38,-9.96,-0.03%,201
"01/13/2021 00:05",33235.04,33557.48,33230.67,33514.34,277.51,+0.83%,188
"01/13/2021 00:00",33285.04,33402.52,33236.83,33236.83,-51.33,-0.15%,172
"01/12/2021 23:55",33070.1,33288.16,33054.82,33288.16,221.73,+0.67%,185
"01/12/2021 23:50",32913.33,33071.49,32865.04,33066.43,153.1,+0.47%,177
"01/12/2021 23:45",33112.27,33112.89,32897.08,32913.33,-198.94,-0.60%,188
"01/12/2021 23:40",33159.98,33191.28,33112.27,33112.27,-57.82,-0.17%,196
"01/12/2021 23:35",33124.38,33265.91,33101.24,33170.09,45.71,+0.14%,184
"01/12/2021 23:30",33028.81,33128.76,32848.59,33124.38,97.35,+0.29%,185
"01/12/2021 23:25",33080.03,33091.65,32993.19,33027.03,-52.25,-0.16%,184
"01/12/2021 23:20",33310.89,33311.08,33069.65,33079.28,-231.61,-0.70%,175
"01/12/2021 23:15",33483.98,33487.1,33308.73,33310.89,-173.52,-0.52%,197
"01/12/2021 23:10",33362.26,33488.16,33362.26,33484.41,124.32,+0.37%,207
"01/12/2021 23:05",33338.08,33479.6,33338.08,33360.09,22.01,+0.07%,205
"01/12/2021 23:00",33177.46,33486.46,33171.46,33338.08,172.69,+0.52%,190
