,Date,Time,Open,High,Low,Close,ST_ALMA
34,03/14/2012,15:30:05.300,2702.75,2704.75,2697,2702.75,2695.1
35,03/14/2012,21:15:00.000,2702.75,2710.25,2702.5,2710.25,2701.04
36,03/15/2012,00:36:41.000,2710.5,2712.75,2705,2712.75,2706.17
37,03/15/2012,05:39:48.000,2713,2717.25,2698.25,2716.75,2709.33
38,03/16/2012,07:30:38.000,2717,2719.25,2716.5,2719.25,2713.19
39,03/16/2012,08:32:26.900,2719.5,2720,2702.75,2710.75,2714.19
40,03/16/2012,14:30:00.000,2710.75,2718.5,2705.25,2718.5,2714.83
41,03/18/2012,20:53:23.000,2718.75,2719,2717.75,2718.5,2715
42,03/18/2012,21:15:17.000,2718.5,2721,2711,2711,2715.71
43,03/19/2012,04:00:19.000,2710.75,2711,2708.5,2708.5,2714.52
44,03/19/2012,04:15:01.000,2708.25,2709,2706,2706,2710.79
45,03/19/2012,04:30:04.000,2705.75,2705.75,2703.5,2703.5,2707.21
46,03/19/2012,04:34:26.530,2703.25,2718.75,2702.75,2703.5,2706.33
47,03/19/2012,08:50:13.550,2703.25,2704.75,2701,2701,2704.73
48,03/19/2012,08:51:07.500,2700.75,2716,2700.25,2716,2705.94
49,03/19/2012,09:48:38.115,2716.25,2718.5,2707.5,2718.5,2708.65
50,03/19/2012,11:39:30.480,2718.75,2721,2718.5,2721,2714.42
51,03/19/2012,11:44:19.115,2721.25,2723.5,2721,2723.5,2719.1
52,03/19/2012,11:44:30.350,2723.75,2726,2721.75,2726,2722.17
53,03/19/2012,12:01:13.470,2726.25,2728.5,2725.5,2728.5,2724.63
54,03/19/2012,12:34:49.000,2728.75,2731,2728.5,2731,2727.13
55,03/19/2012,12:43:23.100,2731.25,2733.5,2726.75,2733.5,2729.42
56,03/19/2012,13:36:15.820,2733.75,2735,2730.5,2734,2731.46
57,03/19/2012,14:30:00.000,2733.75,2734.75,2722,2722,2730.9
58,03/20/2012,04:08:28.140,2721.75,2724.75,2719.5,2719.5,2727.6
59,03/20/2012,05:26:05.290,2719.25,2719.25,2717,2717,2722.54
60,03/20/2012,05:33:08.170,2716.75,2717.25,2714.5,2714.5,2718.42
61,03/20/2012,05:40:30.000,2714.25,2718.75,2712,2712,2716.04
62,03/20/2012,09:32:04.000,2711.75,2715,2709.5,2709.5,2713.81
63,03/20/2012,09:41:53.000,2709.25,2727,2707.25,2727,2714.44
64,03/20/2012,14:00:18.210,2727.25,2729.5,2724.5,2729.5,2718.92
65,03/20/2012,14:15:49.225,2729.75,2732,2728,2729.5,2725.04
66,03/20/2012,14:30:01.000,2729.75,2737.25,2726,2737.25,2730.02
67,03/20/2012,16:14:30.120,2737.5,2739.75,2731.75,2739.75,2733.19
68,03/20/2012,20:31:08.200,2740,2742.25,2738.75,2742.25,2736.85
69,03/20/2012,21:03:49.300,2742.5,2743.75,2741.75,2743.75,2740.31
70,03/20/2012,21:15:31.000,2743.25,2744.25,2733.25,2733.25,2740.75
71,03/21/2012,08:27:39.270,2733,2742,2730.75,2730.75,2738.52
72,03/21/2012,11:00:09.270,2730.5,2748.5,2728.75,2728.75,2735.58
73,03/21/2012,22:56:08.190,2728.5,2736,2726.25,2726.25,2732.5
74,03/22/2012,04:30:04.170,2726,2726.25,2723.75,2723.75,2729.44
75,03/22/2012,04:31:43.600,2723.5,2725.75,2721.25,2721.25,2725.71
