"Date","Price","Open","High","Low","Change %"
"Feb 22, 2011","0.8807","0.8823","0.8872","0.8776","-0.41%"
"Feb 21, 2011","0.8843","0.8827","0.8901","0.8811","-0.36%"
"Feb 18, 2011","0.8875","0.8892","0.8924","0.8846","-0.30%"
"Feb 17, 2011","0.8902","0.8916","0.8962","0.8876","-0.27%"
"Feb 16, 2011","0.8926","0.8982","0.9010","0.8905","-0.68%"
"Feb 15, 2011","0.8987","0.8980","0.9018","0.8939","-0.02%"
"Feb 14, 2011","0.8989","0.9008","0.9056","0.8956","-0.37%"
"Feb 11, 2011","0.9022","0.9006","0.9063","0.8974","0.09%"
"Feb 10, 2011","0.9014","0.8937","0.9033","0.8919","0.74%"
"Feb 09, 2011","0.8948","0.8957","0.8993","0.8923","-0.27%"
"Feb 08, 2011","0.8972","0.8940","0.8985","0.8907","0.19%"
"Feb 07, 2011","0.8955","0.8853","0.8964","0.8844","0.73%"
"Feb 04, 2011","0.8890","0.8838","0.8903","0.8827","0.38%"
"Feb 03, 2011","0.8856","0.8892","0.8931","0.8826","-0.51%"
"Feb 02, 2011","0.8901","0.8932","0.8965","0.8865","-0.45%"
"Feb 01, 2011","0.8941","0.8946","0.8982","0.8910","-0.12%"
"Jan 31, 2011","0.8952","0.8902","0.9006","0.8883","0.43%"
"Jan 28, 2011","0.8914","0.8994","0.9040","0.8884","-0.93%"
"Jan 27, 2011","0.8998","0.8887","0.9018","0.8876","1.03%"
"Jan 26, 2011","0.8906","0.8804","0.8926","0.8794","1.02%"
"Jan 25, 2011","0.8816","0.8779","0.8842","0.8759","0.31%"
"Jan 24, 2011","0.8789","0.8802","0.8841","0.8755","-0.43%"
"Jan 21, 2011","0.8827","0.8816","0.8848","0.8769","0.07%"
"Jan 20, 2011","0.8821","0.8777","0.8828","0.8753","0.32%"
"Jan 19, 2011","0.8793","0.8752","0.8814","0.8740","0.34%"
"Jan 18, 2011","0.8763","0.8721","0.8790","0.8699","0.42%"
"Jan 17, 2011","0.8726","0.8753","0.8785","0.8700","-0.57%"
"Jan 14, 2011","0.8776","0.8747","0.8805","0.8712","0.23%"
"Jan 13, 2011","0.8756","0.8742","0.8786","0.8713","0.08%"
"Jan 12, 2011","0.8749","0.8673","0.8791","0.8657","0.81%"
"Jan 11, 2011","0.8679","0.8678","0.8738","0.8649","-0.07%"
"Jan 10, 2011","0.8685","0.8621","0.8711","0.8606","0.60%"
