"Date","Price","Open","High","Low","Change %"
"Feb 02, 2021","1.1345","1.1330","1.1372","1.1315","0.16%"
"Feb 01, 2021","1.1327","1.1296","1.1360","1.1285","0.35%"
"Jan 29, 2021","1.1287","1.1318","1.1338","1.1272","-0.25%"
"Jan 28, 2021","1.1315","1.1302","1.1331","1.1255","0.16%"
"Jan 27, 2021","1.1297","1.1298","1.1350","1.1287","0.02%"
"Jan 26, 2021","1.1295","1.1264","1.1305","1.1228","0.28%"
"Jan 25, 2021","1.1263","1.1242","1.1277","1.1237","0.16%"
"Jan 22, 2021","1.1245","1.1290","1.1294","1.1211","-0.37%"
"Jan 21, 2021","1.1287","1.1279","1.1327","1.1271","0.10%"
"Jan 20, 2021","1.1276","1.1237","1.1317","1.1230","0.36%"
"Jan 19, 2021","1.1235","1.1249","1.1258","1.1212","-0.10%"
"Jan 18, 2021","1.1246","1.1244","1.1261","1.1202","0.01%"
"Jan 15, 2021","1.1245","1.1258","1.1280","1.1225","-0.10%"
"Jan 14, 2021","1.1256","1.1220","1.1278","1.1211","0.36%"
"Jan 13, 2021","1.1216","1.1194","1.1259","1.1186","0.21%"
"Jan 12, 2021","1.1193","1.1123","1.1212","1.1111","0.64%"
"Jan 11, 2021","1.1122","1.1104","1.1128","1.1064","0.21%"
"Jan 08, 2021","1.1099","1.1053","1.1121","1.1049","0.44%"
"Jan 07, 2021","1.1050","1.1040","1.1094","1.1015","0.12%"
"Jan 06, 2021","1.1037","1.1080","1.1091","1.1005","-0.34%"
"Jan 05, 2021","1.1075","1.1079","1.1096","1.1042","0.00%"
"Jan 04, 2021","1.1075","1.1173","1.1182","1.1049","-1.64%"
"Jan 01, 2021","1.1260","1.1193","1.1264","1.1193","0.61%"
"Dec 31, 2020","1.1192","1.1078","1.1197","1.1065","1.05%"
"Dec 30, 2020","1.1076","1.1023","1.1097","1.1005","0.51%"
"Dec 29, 2020","1.1020","1.1011","1.1042","1.0996","0.12%"
"Dec 28, 2020","1.1007","1.1108","1.1138","1.0998","-0.82%"
"Dec 25, 2020","1.1098","1.1120","1.1150","1.1096","-0.17%"
"Dec 24, 2020","1.1117","1.1074","1.1171","1.1066","0.43%"
"Dec 23, 2020","1.1069","1.0985","1.1111","1.0977","0.79%"
"Dec 22, 2020","1.0982","1.0999","1.1010","1.0922","-0.12%"
"Dec 21, 2020","1.0995","1.0993","1.1026","1.0848","-0.31%"
"Dec 18, 2020","1.1029","1.1075","1.1082","1.1006","-0.36%"
"Dec 17, 2020","1.1069","1.1075","1.1134","1.1048","-0.02%"
"Dec 16, 2020","1.1071","1.1078","1.1122","1.1041","-0.03%"
"Dec 15, 2020","1.1074","1.0972","1.1085","1.0929","0.97%"
"Dec 14, 2020","1.0968","1.0964","1.1058","1.0948","0.49%"
"Dec 11, 2020","1.0915","1.0954","1.0971","1.0833","-0.32%"
"Dec 10, 2020","1.0950","1.1089","1.1104","1.0937","-1.24%"
"Dec 09, 2020","1.1087","1.1034","1.1133","1.1008","0.51%"
"Dec 08, 2020","1.1031","1.1048","1.1049","1.0965","-0.13%"
"Dec 07, 2020","1.1045","1.1090","1.1090","1.0941","-0.34%"
